Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,light,1_mag_acc
5225,-0.22158213,-0.4411275,8.633105,,,,,,,,8.647207297886213
5227,,,,,,,13.38419,9.224907,-38.195175,,
5228,-0.291051,-0.388427,8.482189,,,,,,,,8.496064762621046
5229,,,,0.12447437,0.26555523,-0.09004474,,,,,
5231,-0.40603396,-0.39082244,8.340857,,,,,,,,8.359874475775928
5233,-0.46112996,-0.38363603,8.120473,,,,,,,,8.142597815639231
5234,,,,0.13406175,0.26235944,-0.080989994,,,,,
5236,-0.5401808,-0.388427,7.9000883,,,,,,,,7.928055624099426
5237,,,,,,,14.614447,9.683495,-38.324646,,
5238,-0.5880903,-0.39561346,7.806665,,,,,,,,7.838774051655798
5239,,,,0.119680695,0.25064152,-0.06714157,,,,,
5241,-0.65037274,-0.42675462,7.667727,,,,,,,,7.707083855334354
5243,-0.6695366,-0.40519533,7.504834,,,,,,,,7.545528204290894
5244,,,,0.08878805,0.23253205,-0.04370576,,,,,
5246,-0.6934914,-0.40279987,7.397038,,,,,,,,7.440386362991506
5247,,,,,,,15.844103,10.58431,-38.45925,,
5248,-0.69828236,-0.38363603,7.303614,,,,,,,,7.3469416983393385
5249,,,,0.038720664,0.21069415,-0.01760681,,,,,
5251,-0.71984166,-0.3477039,7.282055,,,,,,,,7.325803371683666
5252,,,,,,,,,,21.0,
5253,-0.791706,-0.30218974,7.241332,,,,,,,,7.290747983823146
5254,,,,-0.020401461,0.1899215,0.007426884,,,,,
5256,-0.80128795,-0.26865306,7.212586,,,,,,,,7.261930435693981
5257,,,,,,,14.769411,9.236653,-38.779915,,
5258,-0.80368346,-0.20157966,7.2557044,,,,,,,,7.302861617433446
5259,,,,-0.08112148,0.18139939,0.040982686,,,,,
5261,-0.8659659,-0.09138766,7.339546,,,,,,,,7.391020506701297
5263,-0.88752514,-0.021918774,7.492857,,,,,,,,7.54526920190623
5264,,,,-0.13491727,0.17873624,0.08039743,,,,,
5266,-0.78451955,0.006826967,7.600653,,,,,,,,7.641036811730436
5267,,,,,,,16.305866,10.153719,-38.133255,,
5268,-0.7222371,0.04515463,7.7707324,,,,,,,,7.80435438724028
5269,,,,-0.16740781,0.18512782,0.117149025,,,,,
5271,-0.65037274,0.04036367,7.9959073,,,,,,,,8.022415314416492
5273,-0.5593446,0.025990784,8.216291,,,,,,,,8.235349397510896
5274,,,,-0.17912571,0.1931173,0.14484589,,,,,
5276,-0.48508477,0.07150489,8.458235,,,,,,,,8.472435275563035
5277,,,,,,,16.460533,9.421324,-37.966164,,
5278,-0.39884752,0.10025062,8.633105,,,,,,,,8.642894854853063
5279,,,,-0.16101623,0.19897625,0.1618901,,,,,
5281,-0.36531085,0.14336924,8.762461,,,,,,,,8.771244468866827
5283,-0.34854248,0.16492856,8.982845,,,,,,,,8.991117148847145
5284,,,,-0.12426465,0.20536782,0.1720101,,,,,
5286,-0.32219222,0.18888333,9.184065,,,,,,,,9.191655708478502
5287,,,,,,,15.226734,11.180821,-37.39817,,
5288,-0.3030284,0.20086074,9.30863,,,,,,,,9.315726687971257
5289,,,,-0.06780569,0.20057414,0.17414062,,,,,
5291,-0.32219222,0.25835222,9.519432,,,,,,,,9.528385975538116
5293,-0.27428266,0.30626178,9.713466,,,,,,,,9.722162773201312
5294,,,,0.009958549,0.18033414,0.1720101,,,,,
5296,-0.21918665,0.33021656,9.8404255,,,,,,,,9.848403920691245
5297,,,,,,,17.38271,9.301821,-37.013252,,
5298,-0.24314144,0.2942844,9.938641,,,,,,,,9.94596933409759
5299,,,,0.09837542,0.14251728,0.16029221,,,,,
5301,-0.14013585,0.34698492,10.056019,,,,,,,,10.062979415636486
5302,,,,,,,,,,16.0,
5303,-0.085039854,0.36135778,10.147047,,,,,,,,10.153835435053292
5304,,,,0.1953144,0.08179725,0.14697641,,,,,
5306,-0.07066698,0.34698492,10.185375,,,,,,,,10.191528651158997
5307,,,,,,,18.919888,10.0645275,-36.829086,,
5308,-0.02036193,0.30865726,10.166211,,,,,,,,10.17091588839791
5309,,,,0.29385126,0.001369862,0.12141008,,,,,
5311,0.0011973679,0.28470248,10.1111145,,,,,,,,10.11512201448496
5313,-0.022757411,0.2487703,10.06081,,,,,,,,10.063910890802717
5314,,,,0.3833334,-0.07905754,0.09584375,,,,,
5316,-0.04192123,0.19606978,10.003319,,,,,,,,10.005328168726649
5317,,,,,,,16.921558,10.158424,-38.42752,,
5318,-0.089830816,0.16971952,9.941036,,,,,,,,9.942890477334458
5319,,,,0.46429342,-0.1541586,0.068679534,,,,,
5321,-0.13294941,0.093064204,9.883545,,,,,,,,9.884877250563635
5323,-0.18804543,0.09785515,9.804494,,,,,,,,9.806785370862432
5324,,,,0.54312295,-0.2212702,0.042580582,,,,,
5326,-0.30063292,0.09785515,9.775748,,,,,,,,9.780859100430455
5327,,,,,,,16.615902,8.679665,-38.418,,
5328,-0.36531085,0.11701898,9.770957,,,,,,,,9.778483837214077
5329,,,,0.6112998,-0.2878492,0.026068995,,,,,
5331,-0.48748025,0.14576472,9.850008,,,,,,,,9.863140572241722
5333,-0.6168361,0.20325622,9.873962,,,,,,,,9.895298148245757
5334,,,,0.6752156,-0.35922185,0.020742677,,,,,
5336,-0.7390055,0.25835222,9.852403,,,,,,,,9.88345687869473
5337,,,,,,,16.00019,9.688292,-39.37358,,
5339,-0.8731523,0.30626178,9.924268,0.74285984,-0.43858397,0.027666891,,,,,9.967310898768437
5341,-1.0072991,0.37812614,9.936245,,,,,,,,9.994328169248652
5344,-1.1438414,0.47873622,9.986549,0.8136999,-0.523805,0.046841636,,,,,10.063236181571753
5346,-1.191751,0.49071363,10.012901,,,,,,,,10.095506760359768
5347,,,,,,,15.076818,8.810677,-37.993507,,
5349,-1.297152,0.5649735,10.017691,0.88134414,-0.60955876,0.081462696,,,,,10.117110819709708
5351,-1.3833892,0.667979,9.979363,,,,,,,,10.096912771183408
5353,,,,,,,,,,15.0,
5354,-1.4145304,0.727866,9.941036,0.9415315,-0.6969104,0.12886693,,,,,10.067516174299207
5356,-1.4887903,0.81170774,9.931454,,,,,,,,10.075174666806825
5357,,,,,,,15.999184,10.425337,-39.38214,,
5359,-1.5319089,0.90273595,9.78533,,,,,,,,9.94556988222503
